rank,fame,deaths,accountAge,characters,skins,verified
35,7777,0,2920,5,2,0
62,982,455,730,1,4,1
42,3159,43,1460,4,15,1
42,2415,54,2555,2,3,0
29,380,107,212,1,3,1
34,14402,2,730,6,6,0
47,20364,22,2555,10,23,1
63,16354,82,1460,5,16,1
65,1526,36,30,1,1,1
63,529,289,1095,2,35,1
45,7447,21,2190,5,6,1
73,2327,94,3285,2,2,1
75,2775,53,2555,2,26,1
55,2989,1,13,2,1,0
45,3944,71,365,3,4,1
57,14929,4,22,3,1,0
60,5148,46,1825,4,5,1
35,402,65,1095,1,5,0
49,964,23,39,2,2,0
49,964,23,39,2,2,0
80,882,555,2190,2,10,1
39,5088,5,32,2,1,0
76,26918,58,730,8,16,1
75,5033,5,1012,2,6,1
48,8350,19,2920,3,13,1
40,240,4,44,2,4,0
72,268,496,1825,2,26,1
25,22608,26,24,5,5,0
17,6407,5,1460,3,0,0
45,5830,138,356,3,5,1
80,69400,41,1460,16,31,1
76,12502,70,1095,8,11,1
64,8148,435,241,4,19,1
66,373,269,1825,1,7,1
45,8820,1,28,5,1,0
46,1706,3,751,1,1,0
3,383,1,14,1,0,0
19,942,3,365,1,0,0
43,313,115,2555,1,2,1
45,5082,2,730,3,9,1
61,823,223,1095,2,6,1
77,383,92,102,4,7,1
56,8212,14,27,4,3,0
65,2349,15,2920,4,0,0
32,6653,3,77,6,1,0
12,0,1,5,1,0,0
39,14257,74,365,2,7,1
68,0,951,2190,0,21,1
28,4793,7,1825,2,5,0
33,8847,47,1507,3,7,1
33,8847,47,1507,3,7,1
5,2674,52,49,1,1,0
62,4137,2,34,3,1,0
26,4900,1,1095,4,0,0
59,272,1519,2190,2,25,1
42,27,1,1429,2,3,0
34,3805,99,2920,2,4,1
25,4153,5,1431,1,0,1
31,752,8,170,1,0,1
32,10512,8,1460,7,3,0
39,5529,56,1825,5,4,1
80,411,479,2190,2,56,1
80,411,479,2190,2,56,1
59,1321,19,357,5,9,1
37,482,23,359,2,2,0
37,482,23,359,2,2,0
63,17013,0,2920,8,2,0
56,2054,18,1460,4,6,1
23,2445,91,1438,4,3,0
45,12941,75,2555,4,1,1
69,5879,64,3285,5,3,1
80,3181,59,558,4,19,1
21,5850,5,4,2,1,0
34,6714,13,1460,3,0,1
26,3074,1,1460,2,3,0
53,1094,95,160,2,2,1
49,1252,22,38,2,2,0
48,8277,96,1095,2,12,1
53,4590,79,1095,11,15,1
31,10547,34,1432,1,3,1
43,2951,157,222,2,2,1
62,771,209,2920,3,3,1
25,1048,45,2190,1,6,1
53,5128,95,1129,16,28,1
50,2997,53,2190,3,4,1
51,10176,2,135,4,7,0
66,15,490,2920,1,12,0
67,551,481,365,1,11,1
24,5580,3,384,1,0,0
5,2814,1,3,1,0,0
5,2727,0,2,1,0,0
29,2647,3,1825,2,2,0
80,567,832,2920,5,51,1
21,379,2,13,1,1,0
42,395,148,2920,1,15,1
63,4000,5,1825,2,1,1
42,1213,57,131,5,5,1
29,4794,145,2555,3,3,1
53,21601,21,203,8,16,1
33,1779,9,53,1,2,0
80,10805,60,1460,4,16,1
45,7289,4,552,2,0,0
8,959,1,257,1,0,0
34,1414,10,64,3,7,0
42,8588,54,365,4,7,1
53,14125,21,203,7,7,0
29,84,68,360,5,3,1
70,979,75,2555,3,10,1
12,1518,2,2,2,0,0
77,738,1488,3285,2,34,1
34,4838,30,12,2,2,0
45,3166,4,14,2,0,0
9,201,2,730,1,0,0
16,3229,2,1460,3,1,0
57,259,0,2920,2,0,1
8,2207,4,1095,1,0,0
7,3408,2,156,2,0,0
65,3112,79,48,3,1,0
34,19081,1,365,5,6,0
23,7738,4,255,3,1,0
80,8472,46,2920,3,9,1
70,290,534,730,2,35,1
80,12319,44,2920,13,6,1
76,4392,91,2920,3,5,1
50,9728,44,1095,7,5,1
41,16082,1,49,3,0,0
38,5208,1,168,2,0,0
48,3416,66,365,3,6,1
59,4631,197,2920,5,12,1
23,785,0,2920,1,2,0
34,325,144,1095,1,4,1
48,5730,37,2190,5,3,1
45,1338,0,2920,5,4,1
9,588,2,1,1,0,0
25,1224,15,1825,1,2,1
74,8352,97,2190,6,22,1
33,3958,4,365,3,1,0
70,27976,20,730,7,8,1
65,39195,90,2555,8,17,1
53,3932,92,365,3,8,0
64,9338,17,1433,2,1,1
32,22852,4,117,5,5,1
67,6142,18,1420,9,15,1
20,6475,0,9,2,1,0
60,8629,3,2190,4,7,0
68,8757,5,56,3,10,1
56,639,431,2190,3,5,1
